"","HepG2_neg","HepG2_0_5mM-glycerol","HepG2_PTPMT1_0.5mM-glycerol","HepG2_PTPMT1_neg","HMC3_PTPMT1-2_glucose","HMC3_PTPMT1-1_glucose","HMC3_glucose","HMC3_neg"
"BMP_18:1_18:1_C",0.02885402,0.14421373,0.13715291,0.00604475,0,0.13187528,0.23095752,0.01382202
"PC_34:1_C",0.01414203,0.14911472,0.11984853,0.01307361,0.08205123,0.18849721,0.21586543,0.01276911
