LipidMolec,ClassKey,FAKey,CalcMass,BaseRt,TotalGrade,TotalSmpIDRate(%),MeanArea[s1],MeanArea[s2],MeanArea[s3],MeanArea[s4],MeanArea[s5],MeanArea[s6],MeanArea[s7],MeanArea[s8],MeanArea[s9],MeanArea[s10],MeanArea[s11],MeanArea[s12]
BisMePA(39:7),BisMePA,(39:7),760.5043,18.6749,C,15.38,74300,115000,111000,89200,230000,144000,138000,239000,229090.9091,228912.7273,435977.6364,229046.3636
BisMePA(39:7),BisMePA,(39:7),760.5043,18.7956,C,7.69,21600,1720,38600,43000,143000,81200,103000,93200,42727.27273,42549.09091,87923.09091,42682.72727
BisMePA(40:7),BisMePA,(40:7),774.52,20.0613,C,46.15,579000,1610000,1630000,1180000,4240000,3090000,2830000,3580000,6436363.636,6436185.455,10812704.91,6436319.091
BisMePA(40:8),BisMePA,(40:8),772.5043,17.3453,C,7.69,501000,617000,587000,515000,437000,374000,354000,704000,1783636.364,1783458.182,2878159.455,1783591.818
BisMePA(40:8),BisMePA,(40:8),772.5043,17.6075,C,7.69,41300,45800,74000,56900,73800,97600,60100,40400,81818.18182,81640,104704.9091,81773.63636
BisMePA(40:8),BisMePA,(40:8),772.5043,21.125,C,7.69,8250,82.7,237,237,1020,203000,17100,96400,21272.72727,21094.54545,12923.09091,21228.18182
BisMePA(40:9),BisMePA,(40:9),770.4887,15.588,C,53.85,54200,103000,76200,90600,61700,79400,67600,85800,252727.2727,252549.0909,282341.2727,252682.7273
Cer(d18:0_22:0),Cer,(d18:0_22:0),623.6216,34.712,C,7.69,319000,264000,252000,298000,460000,229000,403000,329000,44909.09091,44730.90909,23068.54545,44864.54545
Cer(d18:1_16:0),Cer,(d18:1_16:0),537.5121,19.6859,A,15.38,340000,330000,346000,302000,529000,370000,288000,628000,450909.0909,450730.9091,874523.0909,450864.5455
Cer(d18:1_16:0),Cer,(d18:1_16:0),537.5121,19.7599,A,15.38,340000,330000,346000,302000,529000,370000,288000,628000,450909.0909,450730.9091,874523.0909,450864.5455
Cer(d18:1_16:0),Cer,(d18:1_16:0),537.5121,19.8159,A,7.69,244000,5980,11200,134000,84200,157000,20500,267000,194545.4545,194367.2727,470341.2727,194500.9091
Cer(d18:1_18:0),Cer,(d18:1_18:0),565.5434,23.2137,A,7.69,5910,16100,17400,9030,6260,13500,9080,28600,83272.72727,83094.54545,130650.3636,83228.18182
Cer(d18:1_18:0),Cer,(d18:1_18:0),565.5434,23.3614,A,7.69,84500,83800,86000,71200,116000,139000,96000,190000,383636.3636,383458.1818,633614,383591.8182
Cer(d18:1_20:0),Cer,(d18:1_20:0),593.5747,27.9023,A,7.69,32100,36700,13100,16700,34800,21100,6060,44700,172000,171821.8182,197068.5455,171955.4545
Cer(d18:1_20:0),Cer,(d18:1_20:0),593.5747,27.9589,A,15.38,13700,4970,5250,16900,8190,15900,15500,22400,136545.4545,136367.2727,175104.9091,136500.9091
Cer(d18:1_22:0),Cer,(d18:1_22:0),621.606,33.1697,A,38.46,123000,108000,89800,39900,144000,83100,96000,192000,240000,239821.8182,535068.5455,239955.4545
Cer(d18:1_22:0),Cer,(d18:1_22:0),621.606,33.4062,A,7.69,6050,4310,13300,13200,13600,19200,4250,3530,75636.36364,75458.18182,171286.7273,75591.81818
Cer(d18:1_22:0),Cer,(d18:1_22:0),621.606,33.5047,C,7.69,969,5560,20.5,4750,14.9,5110,5310,11000,17363.63636,17185.45455,22341.27273,17319.09091
Cer(d18:1_22:1),Cer,(d18:1_22:1),619.5903,28.5582,C,7.69,10600,2290,39.3,65.4,6960,11500,5840,14.2,40000,39821.81818,37924.90909,39955.45455
Cer(d18:1_23:0),Cer,(d18:1_23:0),635.6216,35.143,A,69.23,205000,218000,120000,196000,424000,269000,293000,399000,681818.1818,681640,897614,681773.6364
Cer(d18:1_24:0),Cer,(d18:1_24:0),649.6373,35.8674,A,84.62,390000,238000,360000,327000,551000,438000,449000,584000,325454.5455,325276.3636,701795.8182,325410
Cer(d18:1_24:1),Cer,(d18:1_24:1),647.6216,32.5109,A,7.69,142000,142000,182000,141000,53900,63400,118000,101000,749090.9091,748912.7273,2366941.273,749046.3636
Cer(d18:1_24:1),Cer,(d18:1_24:1),647.6216,32.6024,A,23.08,471000,415000,328000,388000,393000,315000,271000,391000,1801818.182,1801640,2167068.545,1801773.636
Cer(d18:1_24:1),Cer,(d18:1_24:1),647.6216,32.6722,A,53.85,39400,89600,101000,88600,81500,59300,57900,98500,530909.0909,530730.9091,698886.7273,530864.5455
Cer(d18:1_24:1),Cer,(d18:1_24:1),647.6216,32.7368,A,69.23,471000,415000,328000,365000,348000,315000,295000,391000,1801818.182,1801640,2505432.182,1801773.636
Cer(d18:1_24:1),Cer,(d18:1_24:1),647.6216,32.8131,A,38.46,471000,415000,198000,388000,294000,315000,24600,391000,1801818.182,1801640,2137977.636,1801773.636
Cer(d18:1_24:1),Cer,(d18:1_24:1),647.6216,32.8458,A,23.08,219000,67200,188000,140000,71900,32100,59000,258000,490909.0909,490730.9091,627250.3636,490864.5455
Cer(d18:1_24:1),Cer,(d18:1_24:1),647.6216,33.0194,A,23.08,44200,99000,47100,22600,167000,76000,93900,148000,818181.8182,818003.6364,988159.4545,818137.2727
Cer(d18:2_16:0),Cer,(d18:2_16:0),535.4964,17.3298,A,23.08,75300,74500,40100,25400,77000,73300,58700,82700,98000,97821.81818,165068.5455,97955.45455
Cer(d18:2_20:0),Cer,(d18:2_20:0),591.559,23.9885,A,7.69,80200,70900,47100,35100,73200,74100,74400,55900,90727.27273,90549.09091,160523.0909,90682.72727
Cer(d18:2_20:0),Cer,(d18:2_20:0),591.559,24.0539,A,7.69,67200,51700,36100,34600,53800,55400,52800,42000,90727.27273,90549.09091,177250.3636,90682.72727
Cer(d18:2_22:0),Cer,(d18:2_22:0),619.5903,28.7678,A,15.38,79.2,124,0.00102,202,32900,13400,4570,7400,76363.63636,76185.45455,94014,76319.09091
Cer(d18:2_23:0),Cer,(d18:2_23:0),633.606,31.3958,A,7.69,41000,41400,44500,47600,50800,35300,48600,46700,265454.5455,265276.3636,356341.2727,265410
Cer(d18:2_23:0),Cer,(d18:2_23:0),633.606,31.4854,A,15.38,41000,41400,44500,47600,50800,35300,48600,46700,265454.5455,265276.3636,356341.2727,265410
Cer(d18:2_24:0),Cer,(d18:2_24:0),647.6216,34.5677,A,23.08,103000,72300,185,25500,187000,147000,136000,166000,480000,479821.8182,687795.8182,479955.4545
Cer(d18:2_24:0),Cer,(d18:2_24:0),647.6216,34.6228,A,23.08,19500,17300,13100,16200,34200,26500,31400,31100,98000,97821.81818,141068.5455,97955.45455
Cer(d18:2_24:0),Cer,(d18:2_24:0),647.6216,34.9639,A,7.69,117000,58400,29000,108000,181000,125000,112000,143000,91454.54545,91276.36364,115068.5455,91410
Cer(d18:2_24:1),Cer,(d18:2_24:1),645.606,28.5152,A,38.46,200000,205000,219000,174000,136000,102000,50600,171000,135818.1818,135640,575977.6364,135773.6364
Cer(d18:2_24:1),Cer,(d18:2_24:1),645.606,28.5727,A,38.46,242000,205000,219000,174000,78700,102000,105000,171000,616363.6364,616185.4545,858341.2727,616319.0909
Cer(d18:2_24:1),Cer,(d18:2_24:1),645.606,28.6433,A,23.08,200000,107000,219000,57300,78700,27200,33400,171000,441818.1818,441640,712704.9091,441773.6364
Cer(d18:2_24:1),Cer,(d18:2_24:1),645.606,28.735,A,15.38,69000,107000,108000,95600,78700,61300,88300,171000,616363.6364,616185.4545,923432.1818,616319.0909
Cer(d20:1_18:0),Cer,(d20:1_18:0),593.5747,27.7108,C,7.69,1430,2420,9.08,6420,861,5180,1610,1140,74000,73821.81818,75850.36364,73955.45455
Cer(m18:0_18:0),Cer,(m18:0_18:0),551.5641,27.1114,C,7.69,37400,45800,26000,42000,17900,21500,25400,17300,57818.18182,57640,131923.0909,57773.63636
