LipidMolec,ClassKey,FAKey,CalcMass,BaseRt,TotalGrade,TotalSmpIDRate(%),MeanArea[s1],MeanArea[s2],MeanArea[s3],MeanArea[s4],MeanArea[s5],MeanArea[s6],MeanArea[s7],MeanArea[s8],MeanArea[s9],MeanArea[s10],MeanArea[s11],MeanArea[s12]
MePC(37:4),MePC,(37:4),810.6013,18.5013,C,7.69,131000,319000,178000,157000,108000,230000,156000,376000,36727.27273,36549.09091,51616.36364,36682.72727
MePC(37:5),MePC,(37:5),808.5856,18.6818,C,7.69,155000,256000,299000,43500,259000,215000,146000,207000,0,#VALUE!,#VALUE!,#VALUE!
MePC(37:6),MePC,(37:6),806.57,18.7983,C,7.69,47.6,50.8,36300,20600,2.71,36.3,6050,0.00623,0.026363636,178.1554545,1476.882636,44.51909091
MePC(37:8),MePC,(37:8),802.5387,11.4621,C,7.69,4440,2170,4200,685,6140,11000,6240,9760,26000,25821.81818,54414,25955.45455
MePC(39:10),MePC,(39:10),826.5387,14.0986,C,7.69,1560,14.5,0.106,4.99,423,376,1500,1540,0.003,178.1788182,95.08790909,44.54245455
MePC(39:6),MePC,(39:6),834.6013,20.2201,C,7.69,34400,47900,35700,27500,293,38000,8320,411,4.02E-06,178.1818142,11741.27273,44.54545053
MG(15:2),MG,(15:2),312.2301,3.9258,C,7.69,34400,30700,29500,32100,48400,45100,40400,37100,64545.45455,64367.27273,77250.36364,64500.90909
MG(O-23:2),MG,(O-23:2),410.376,15.3135,C,7.69,31400,43000,30100,41300,49800,52800,40500,47100,183636.3636,183458.1818,261795.8182,183591.8182
MG(O-26:6),MG,(O-26:6),444.3603,18.8223,C,30.77,70300,82600,89700,96800,20200,25800,42100,7250,111636.3636,111458.1818,163250.3636,111591.8182
MG(O-27:3),MG,(O-27:3),464.4229,18.7593,C,7.69,501000,498000,446000,369000,422000,484000,432000,425000,14872.72727,14694.54545,15149.63636,14828.18182
MG(P-18:4),MG,(P-18:4),334.2508,21.2463,C,7.69,30600,13700,17400,44700,2450,1640,2730,1390,3236.363636,3058.181818,28304.90909,3191.818182
MG(P-18:4),MG,(P-18:4),334.2508,21.6285,C,7.69,21800,23800,12600,32900,3180,3100,2460,1660,72000,71821.81818,120704.9091,71955.45455
PA(20:2_18:0),PA,(20:2_18:0),728.5356,24.5133,C,7.69,3810,509000,5770,20100,150000,21400,59800,189000,161454.5455,161276.3636,205250.3636,161410
PA(20:2_18:1),PA,(20:2_18:1),726.52,20.7031,C,7.69,105000,371000,332000,415000,1440000,664000,764000,1420000,6618181.818,6618003.636,7309068.545,6618137.273
PA(20:2_18:1),PA,(20:2_18:1),726.52,20.8187,C,7.69,163000,371000,332000,415000,1440000,664000,764000,1420000,6618181.818,6618003.636,6838159.455,6618137.273
PA(22:4_17:0),PA,(22:4_17:0),738.52,19.5905,C,7.69,581000,670000,664000,408000,290000,496000,385000,764000,441818.1818,441640,999977.6364,441773.6364
PA(O-18:2_20:2),PA,(O-18:2_20:2),710.525,23.1918,C,7.69,165000,230000,20700,223000,184000,270000,136000,244000,905454.5455,905276.3636,1385977.636,905410
PC(13:1_18:2),PC,(13:1_18:2),713.4996,16.0496,C,7.69,98100,95900,93200,119000,150000,113000,69400,170000,385454.5455,385276.3636,586886.7273,385410
PC(13:1_20:4),PC,(13:1_20:4),737.4996,17.9685,C,7.69,53.6,4.67,29.5,56.8,12.7,53.5,31.3,2390,26545.45455,26367.27273,26509.81818,26500.90909
PC(13:1_22:4),PC,(13:1_22:4),765.5309,21.4943,B,23.08,235000,341000,219000,301000,3160000,2340000,357000,3030000,689090.9091,688912.7273,1041795.818,689046.3636
PC(14:0_16:0),PC,(14:0_16:0),705.5309,16.8266,A,76.92,584000,1000000,1180000,986000,524000,835000,319000,1020000,2800000,2799821.818,4399977.636,2799955.455
PC(14:0_18:2),PC,(14:0_18:2),729.5309,19.7509,C,7.69,48800,89300,81300,18100,1150000,577000,634000,1160000,1043636.364,1043458.182,1305795.818,1043591.818
PC(15:0_18:2),PC,(15:0_18:2),743.5465,16.4793,A,53.85,152000,243000,4200,4540,610000,452000,537000,675000,171454.5455,171276.3636,280523.0909,171410
PC(15:1_17:0),PC,(15:1_17:0),731.5465,19.3112,C,7.69,0,11900,3050,2480,512000,34300,198,205000,570909.0909,570730.9091,997250.3636,570864.5455
PC(15:1_18:1),PC,(15:1_18:1),743.5465,20.6375,C,7.69,168000,203000,76600,180000,801000,404000,495000,421000,3800000,3799821.818,4051614,3799955.455
PC(15:1_18:2),PC,(15:1_18:2),741.5309,18.6794,C,7.69,519000,779000,580000,691000,963000,925000,905000,909000,225454.5455,225276.3636,2534523.091,225410
PC(15:1_22:6),PC,(15:1_22:6),789.5309,17.5527,C,7.69,16800,38500,32800,57800,49600,95100,63000,104000,46363.63636,46185.45455,33614,46319.09091
PC(15:2_17:0),PC,(15:2_17:0),729.5309,19.6584,C,7.69,39600,49300,81300,54200,976000,514000,525000,398000,607272.7273,607094.5455,3033068.545,607228.1818
PC(15:2_18:2),PC,(15:2_18:2),739.5152,16.4835,C,7.69,196000,351000,218000,235000,518000,391000,414000,665000,1380000,1379821.818,1729068.545,1379955.455
PC(16:0_16:0),PC,(16:0_16:0),733.5622,18.8649,A,7.69,92700,1860,949,54700,23200,30300,13000,41800,5436363.636,5436185.455,5669923.091,5436319.091
PC(16:0_16:0),PC,(16:0_16:0),733.5622,19.11,A,30.77,2980,6220,4280,926,3850,3570000,4580,68.3,181818.1818,181640,192432.1818,181773.6364
PC(16:0_16:0),PC,(16:0_16:0),733.5622,19.4844,A,30.77,3670000,2570000,11900000,4090000,1240000,5140000,484000,8210000,15563636.36,15563458.18,23727250.36,15563591.82
PC(16:0_16:0),PC,(16:0_16:0),733.5622,19.5346,A,61.54,9770000,11600000,17900000,14500000,9730000,5140000,10300000,13200000,36909090.91,36908912.73,36436341.27,36909046.36
PC(16:0_16:0),PC,(16:0_16:0),733.5622,19.5915,A,61.54,9770000,16800000,17900000,14500000,9730000,11000000,10300000,13200000,36909090.91,36908912.73,54509068.55,36909046.36
PC(16:0_16:0),PC,(16:0_16:0),733.5622,19.6703,A,15.38,9770000,16800000,17900000,14500000,9730000,11000000,10300000,13200000,36909090.91,36908912.73,54509068.55,36909046.36
PC(16:0_16:0),PC,(16:0_16:0),733.5622,19.7471,A,23.08,7710000,5530000,12000000,8960000,2760000,5530000,2580000,2240000,14927272.73,14927094.55,18399977.64,14927228.18
PC(16:0_16:0),PC,(16:0_16:0),733.5622,19.7787,A,30.77,8500000,5530000,12000000,8960000,2760000,5820000,3820000,2240000,15145454.55,15145276.36,18618159.45,15145410
PC(16:0_16:0),PC,(16:0_16:0),733.5622,19.9164,A,7.69,134000,71100,62100,188000,160000,229000,199000,291000,24545.45455,24367.27273,48159.45455,24500.90909
PC(16:0_16:1),PC,(16:0_16:1),731.5465,17.1486,A,38.46,2590000,2740000,3230000,2930000,2380000,1390000,841000,1980000,6236363.636,6236185.455,7727250.364,6236319.091
PC(16:0_16:1),PC,(16:0_16:1),731.5465,17.2407,A,46.15,2590000,2740000,3230000,2930000,2610000,2180000,1620000,3250000,6236363.636,6236185.455,7727250.364,6236319.091
PC(16:0_16:1),PC,(16:0_16:1),731.5465,17.4297,A,15.38,866000,1440000,644000,720000,232000,780000,774000,1270000,1360000,1359821.818,3050886.727,1359955.455
PC(16:0_16:1),PC,(16:0_16:1),731.5465,17.4828,A,15.38,55700,57300,71900,88000,87000,27100,48500,162000,118363.6364,118185.4545,189614,118319.0909
PC(16:0_17:1),PC,(16:0_17:1),745.5622,18.2333,A,46.15,357000,234000,458000,67900,546000,413000,364000,644000,1480000,1479821.818,1152704.909,1479955.455
PC(16:0_17:1),PC,(16:0_17:1),745.5622,18.2871,A,53.85,259000,234000,397000,67900,546000,413000,364000,644000,1480000,1479821.818,1967250.364,1479955.455
PC(16:0_18:0),PC,(16:0_18:0),761.5935,23.1166,A,38.46,1590000,837000,577000,1480000,871000,718000,663000,920000,3818181.818,3818003.636,5541795.818,3818137.273
PC(16:0_18:0),PC,(16:0_18:0),761.5935,23.1576,A,69.23,1590000,837000,2160000,1480000,871000,957000,679000,920000,3818181.818,3818003.636,5541795.818,3818137.273
PC(16:0_18:0),PC,(16:0_18:0),761.5935,23.1912,A,38.46,1590000,837000,2160000,1480000,871000,957000,679000,920000,3818181.818,3818003.636,5541795.818,3818137.273
PC(16:0_18:0),PC,(16:0_18:0),761.5935,23.2415,A,15.38,1590000,837000,1580000,1480000,871000,957000,679000,920000,2563636.364,2563458.182,4287250.364,2563591.818
PC(16:0_18:0),PC,(16:0_18:0),761.5935,23.5559,A,30.77,355000,105000,213000,210000,418000,339000,211000,90900,2472727.273,2472549.091,4276704.909,2472682.727
PC(16:0_18:1),PC,(16:0_18:1),759.5778,19.8057,A,30.77,17700000,20800000,20800000,21400000,45700000,20600000,35800000,37300000,68545454.55,68545276.36,79636341.27,68545410
PC(16:0_18:1),PC,(16:0_18:1),759.5778,19.8601,A,69.23,17700000,20800000,20800000,21400000,45700000,43000000,35800000,40700000,68545454.55,68545276.36,109090886.7,68545410
PC(16:0_18:1),PC,(16:0_18:1),759.5778,19.8991,A,69.23,17700000,20800000,20800000,21400000,45700000,43000000,35800000,40700000,68545454.55,68545276.36,109090886.7,68545410
PC(16:0_18:1),PC,(16:0_18:1),759.5778,19.9708,A,38.46,17700000,20800000,20800000,21400000,45700000,22400000,35800000,40700000,36000000,35999821.82,40727250.36,35999955.45
PC(16:0_18:2),PC,(16:0_18:2),757.5622,17.7336,A,69.23,45500000,52100000,50000000,49700000,211000000,204000000,97400000,241000000,76000000,75999821.82,155454523.1,75999955.45
PC(16:0_18:2),PC,(16:0_18:2),757.5622,17.8452,A,38.46,45500000,28800000,50000000,49700000,211000000,204000000,105000000,241000000,31090909.09,31090730.91,110545432.2,31090864.55
PC(16:0_20:4),PC,(16:0_20:4),781.5622,17.2929,A,61.54,6530000,7710000,9410000,6580000,13800000,11500000,6460000,22200000,18363636.36,18363458.18,23945432.18,18363591.82
PC(16:0_20:4),PC,(16:0_20:4),781.5622,17.4485,A,15.38,42600,94200,40100,279000,163000,128000,379000,1110000,421818.1818,421640,618159.4545,421773.6364
PC(16:0_20:5),PC,(16:0_20:5),779.5465,15.9243,A,15.38,32800,40600,23900,31800,23700,31200,20900,31800,103818.1818,103640,211068.5455,103773.6364
PC(16:0_22:5),PC,(16:0_22:5),807.5778,17.5322,A,61.54,2770000,3190000,3490000,2480000,2400000,2720000,2020000,3190000,3490909.091,3490730.909,6854523.091,3490864.545
PC(16:0_22:6),PC,(16:0_22:6),805.5622,16.772,A,84.62,3150000,4970000,4740000,5680000,4710000,6320000,3410000,6090000,15545454.55,15545276.36,24254523.09,15545410
PC(16:1_16:0),PC,(16:1_16:0),731.5465,17.3172,A,38.46,2590000,2740000,3230000,2930000,2610000,2180000,1620000,1270000,425454.5455,425276.3636,1916341.273,425410
PC(16:1_17:2),PC,(16:1_17:2),741.5309,18.4272,C,7.69,2580,10100,102000,91200,433000,306000,151000,458000,147818.1818,147640,307432.1818,147773.6364
PC(16:1_18:2),PC,(16:1_18:2),755.5465,15.6847,A,53.85,1050000,1020000,1190000,1200000,2430000,1990000,1550000,3630000,749090.9091,748912.7273,1507250.364,749046.3636
PC(16:1_20:4),PC,(16:1_20:4),779.5465,15.422,C,7.69,9450,32300,14500,71.3,4120,4770,12600,58400,0,#VALUE!,#VALUE!,#VALUE!
PC(17:0_16:0),PC,(17:0_16:0),747.5778,21.6136,C,7.69,28600,62400,61300,41900,24800,37000,13700,2270,205454.5455,205276.3636,214704.9091,205410
PC(17:0_18:1),PC,(17:0_18:1),773.5935,20.9657,C,7.69,44400,132000,271000,244000,1070000,96800,49200,796000,1060000,1059821.818,1077432.182,1059955.455
PC(17:0_18:1),PC,(17:0_18:1),773.5935,21.3842,A,15.38,28900,44200,62600,83500,513000,335000,246000,486000,0,#VALUE!,#VALUE!,#VALUE!
PC(17:0_18:1),PC,(17:0_18:1),773.5935,21.4271,A,61.54,289000,436000,412000,494000,2070000,1140000,1290000,1080000,3472727.273,3472549.091,5345432.182,3472682.727
PC(17:0_20:4),PC,(17:0_20:4),795.5778,18.7112,A,23.08,273000,306000,180000,18600,1120000,654000,642000,1570000,785454.5455,785276.3636,2345432.182,785410
PC(17:0_20:4),PC,(17:0_20:4),795.5778,18.7748,A,76.92,273000,306000,303000,238000,1120000,654000,642000,1570000,1854545.455,1854367.273,3414523.091,1854500.909
PC(17:1_18:2),PC,(17:1_18:2),769.5622,16.7513,C,23.08,162000,149000,202000,189000,219000,143000,194000,267000,658181.8182,658003.6364,974523.0909,658137.2727
PC(17:3_18:0),PC,(17:3_18:0),769.5622,21.3875,C,7.69,19100,50100,33500,63800,118000,76900,102000,191000,274545.4545,274367.2727,359795.8182,274500.9091
PC(18:0_18:1),PC,(18:0_18:1),787.6091,23.6229,A,61.54,8440000,9660000,9980000,10600000,49900000,40400000,33000000,50600000,44363636.36,44363458.18,77981795.82,44363591.82
PC(18:0_18:2),PC,(18:0_18:2),785.5935,21.2331,C,7.69,1.47,12.3,0.00289,19.7,28400,0,7830,26700,0,#VALUE!,#VALUE!,#VALUE!
PC(18:0_20:3),PC,(18:0_20:3),811.6091,21.7581,A,38.46,1420000,1400000,1890000,1060000,4940000,3270000,3810000,5880000,11927272.73,11927094.55,18127250.36,11927228.18
PC(18:0_20:4),PC,(18:0_20:4),809.5935,20.2872,A,84.62,7400000,7880000,11200000,6860000,37900000,26100000,24000000,57400000,30909090.91,30908912.73,61236341.27,30909046.36
PC(18:0_22:4),PC,(18:0_22:4),837.6248,22.8605,A,30.77,120000,141000,223000,116000,127000,128000,108000,214000,903636.3636,903458.1818,1260159.455,903591.8182
PC(18:0_22:5),PC,(18:0_22:5),835.6091,20.2195,A,30.77,599000,766000,846000,599000,758000,348000,683000,764000,2000000,1999821.818,3489068.545,1999955.455
PC(18:0_22:6),PC,(18:0_22:6),833.5935,19.5576,A,7.69,68200,5810,64900,34300,202000,92700,8250,364000,84181.81818,84003.63636,310577.6364,84137.27273
PC(18:0_22:6),PC,(18:0_22:6),833.5935,19.7106,A,38.46,2160000,3570000,3280000,3080000,6950000,5440000,5120000,9640000,11036363.64,11036185.45,16963614,11036319.09
PC(18:1_15:0)+D7:(s),PC,(18:1_15:0)+D7:(s),752.6061,18.314,A,61.54,6340000,6160000,6100000,7350000,8580000,8410000,9560000,8290000,11981818.18,11981640,23236341.27,11981773.64
PC(18:1_16:0),PC,(18:1_16:0),759.5778,20.129,A,15.38,2500000,11300000,5170000,5010000,17400000,15900000,7460000,3310000,14818181.82,14818003.64,33709068.55,14818137.27
PC(18:1_18:0),PC,(18:1_18:0),787.6091,23.6791,A,61.54,8440000,9660000,9980000,5480000,49900000,34800000,33000000,50600000,44363636.36,44363458.18,77981795.82,44363591.82
PC(18:1_18:0),PC,(18:1_18:0),787.6091,23.753,B,7.69,30100,78800,85100,67900,3680000,2200000,2010000,2640000,361818.1818,361640,936341.2727,361773.6364
PC(18:1_18:0),PC,(18:1_18:0),787.6091,23.9408,A,23.08,1240000,2750000,691000,3410000,19800000,5530000,6660000,18300000,20181818.18,20181640,38872704.91,20181773.64
PC(18:1_18:0),PC,(18:1_18:0),787.6091,24.3123,A,23.08,254000,69900,74100,210000,1170000,816000,155000,1440000,1598181.818,1598003.636,2727250.364,1598137.273
PC(18:1_18:1),PC,(18:1_18:1),785.5935,20.2542,A,30.77,2570000,2060000,2870000,3270000,2510000,2420000,2010000,1750000,123272727.3,123272549.1,129599977.6,123272682.7
PC(18:1_18:1),PC,(18:1_18:1),785.5935,20.3028,A,15.38,161000,156000,238000,176000,557000,298000,302000,827000,3981818.182,3981640,4394523.091,3981773.636
PC(18:1_18:2),PC,(18:1_18:2),783.5778,17.9626,A,76.92,10900000,12400000,11900000,12400000,23000000,15300000,17400000,26300000,28181818.18,28181640,43963614,28181773.64
PC(18:1_22:6),PC,(18:1_22:6),831.5778,17.2857,B,7.69,19900,17400,6.37,12400,14600,9990,7970,12400,58727.27273,58549.09091,56523.09091,58682.72727
PC(18:2_14:0),PC,(18:2_14:0),729.5309,13.3493,B,7.69,0,0.000216,7.7,1.01E-07,1370,1390,3610,2480,54181.81818,54003.63636,60095.81818,54137.27273
PC(18:2_14:0),PC,(18:2_14:0),729.5309,15.4921,B,15.38,7590,14000,10300,11700,32700,42200,26600,40100,95272.72727,95094.54545,126141.2727,95228.18182
PC(18:2_16:0),PC,(18:2_16:0),757.5622,17.6627,B,15.38,5610000,6040000,5270000,5050000,21300000,25000000,16200000,21100000,3872727.273,3872549.091,4636341.273,3872682.727
PC(18:2_16:0),PC,(18:2_16:0),757.5622,17.7123,A,53.85,45500000,52100000,50000000,49700000,211000000,204000000,105000000,241000000,76000000,75999821.82,155454523.1,75999955.45
PC(18:2_16:0),PC,(18:2_16:0),757.5622,17.9599,A,15.38,316000,3210000,3100000,2820000,14200000,14200000,4190000,13200000,1767272.727,1767094.545,3047250.364,1767228.182
PC(18:2_16:0),PC,(18:2_16:0),757.5622,18.2098,B,7.69,791000,51800,5610000,5440000,11600000,24300000,24300000,24900000,9163636.364,9163458.182,12581795.82,9163591.818
PC(18:2_16:1),PC,(18:2_16:1),755.5465,15.7913,A,46.15,1050000,1020000,1190000,1200000,2430000,1250000,1550000,2830000,1381818.182,1381640,4067250.364,1381773.636
PC(18:2_17:0),PC,(18:2_17:0),771.5778,19.1728,A,38.46,1220000,1900000,1990000,1660000,7900000,7960000,5570000,360000,7709090.909,7708912.727,13109068.55,7709046.364
PC(18:2_17:0),PC,(18:2_17:0),771.5778,19.2005,A,76.92,1220000,1900000,1990000,1660000,7900000,7960000,9130000,9170000,9600000,9599821.818,19781795.82,9599955.455
PC(18:2_17:0),PC,(18:2_17:0),771.5778,19.2491,A,46.15,1220000,1900000,1990000,1660000,7900000,7960000,9130000,9170000,9600000,9599821.818,19781795.82,9599955.455
PC(18:2_17:0),PC,(18:2_17:0),771.5778,19.3151,A,30.77,1220000,1900000,1990000,1300000,7900000,7960000,9130000,9170000,7709090.909,7708912.727,10454523.09,7709046.364
PC(18:2_18:0),PC,(18:2_18:0),785.5935,20.7794,A,46.15,18200000,46700000,73100000,37600000,164000000,268000000,200000000,203000000,161090909.1,161090730.9,266181795.8,161090864.5
PC(18:2_18:0),PC,(18:2_18:0),785.5935,20.8291,A,61.54,45200000,46700000,73100000,37600000,164000000,268000000,200000000,326000000,161090909.1,161090730.9,266181795.8,161090864.5
PC(18:2_18:0),PC,(18:2_18:0),785.5935,20.9167,A,46.15,62300000,44100000,73100000,51900000,310000000,117000000,141000000,405000000,128727272.7,128727094.5,233818159.5,128727228.2
PC(18:2_18:0),PC,(18:2_18:0),785.5935,21.058,A,38.46,17000000,33700000,13700000,43200000,164000000,268000000,183000000,78200000,64545454.55,64545276.36,99272704.91,64545410
PC(18:2_18:0),PC,(18:2_18:0),785.5935,21.1517,B,15.38,9280,491000,237000,1150000,14700000,4660000,6130000,8680000,1872727.273,1872549.091,2199977.636,1872682.727
PC(18:2_18:0),PC,(18:2_18:0),785.5935,21.3824,B,7.69,219000,668000,239000,365000,3850000,3840000,3780000,3740000,3036363.636,3036185.455,2784523.091,3036319.091
PC(18:2_18:0),PC,(18:2_18:0),785.5935,21.7372,A,46.15,465000,360000,671000,83800,2270000,2760000,959000,3380000,13345454.55,13345276.36,23829068.55,13345410
PC(18:2_18:0),PC,(18:2_18:0),785.5935,22.2611,B,7.69,2190,5220,4510,1210,19800,21000,17600,27000,42545.45455,42367.27273,61014,42500.90909
PC(18:2_18:1),PC,(18:2_18:1),783.5778,17.3513,B,7.69,106000,202000,125000,110000,64000,130000,97700,67000,474545.4545,474367.2727,583432.1818,474500.9091
PC(18:2_18:2),PC,(18:2_18:2),781.5622,16.0564,A,76.92,3190000,4730000,3190000,4070000,4970000,5640000,5480000,6400000,15327272.73,15327094.55,22618159.45,15327228.18
PC(18:2_18:2),PC,(18:2_18:2),781.5622,16.1012,A,76.92,3190000,4730000,3190000,4070000,4970000,5640000,5480000,6400000,15327272.73,15327094.55,22618159.45,15327228.18
PC(18:2_20:4),PC,(18:2_20:4),805.5622,15.6817,A,46.15,594000,753000,840000,633000,711000,331000,273000,979000,5836363.636,5836185.455,7341795.818,5836319.091
PC(18:2_20:4),PC,(18:2_20:4),805.5622,15.7484,A,61.54,716000,753000,876000,633000,711000,605000,566000,979000,5836363.636,5836185.455,7341795.818,5836319.091
PC(18:2_20:5),PC,(18:2_20:5),803.5465,16.1164,C,7.69,158000,262000,197000,202000,261000,321000,266000,390000,196363.6364,196185.4545,1154523.091,196319.0909
PC(18:2_22:6),PC,(18:2_22:6),829.5622,15.197,B,53.85,16800,23400,23800,22000,24600,28900,23100,29100,121272.7273,121094.5455,152668.5455,121228.1818
PC(18:2_22:6),PC,(18:2_22:6),829.5622,15.2414,A,69.23,371000,446000,508000,536000,536000,623000,505000,626000,2363636.364,2363458.182,2567250.364,2363591.818
PC(18:3_16:0),PC,(18:3_16:0),755.5465,16.1033,A,23.08,145000,568000,343000,330000,504000,636000,500000,371000,2581818.182,2581640,3063614,2581773.636
PC(18:3_17:1),PC,(18:3_17:1),767.5465,20.4775,C,7.69,282000,320000,354000,220000,1420000,1680000,1420000,1750000,160181.8182,160003.6364,169250.3636,160137.2727
PC(18:4_15:1),PC,(18:4_15:1),737.4996,18.2114,C,15.38,72400,93200,74100,75500,549000,397000,379000,591000,10309.09091,8309.090909,9476.909091,9778.181818
PC(18:4_17:1),PC,(18:4_17:1),765.5309,21.3846,C,15.38,111000,163000,135000,134000,890000,744000,724000,490000,78181.81818,78003.63636,11977.63636,78137.27273
PC(18:4_17:3),PC,(18:4_17:3),761.4996,16.5194,C,7.69,13900,20800,13000,13700,31600,29000,24200,38000,2454.545455,2243.636364,3323.090909,2447.272727
PC(18:4_18:0),PC,(18:4_18:0),781.5622,16.1961,B,15.38,79400,219000,195000,202000,203000,256000,167000,390000,1076363.636,1076185.455,1795795.818,1076319.091
PC(18:4_20:0),PC,(18:4_20:0),809.5935,19.2292,A,69.23,466000,415000,647000,370000,396000,194000,278000,303000,9381818.182,9381640,10467250.36,9381773.636
PC(18:4_20:0),PC,(18:4_20:0),809.5935,19.2631,B,38.46,20300,21100,28400,13600,27800,21100,12700,51100,543636.3636,543458.1818,633795.8182,543591.8182
PC(18:4_20:0),PC,(18:4_20:0),809.5935,19.394,B,15.38,20300,21700,30400,13600,27800,21100,13200,51100,616363.6364,616185.4545,706523.0909,616319.0909
PC(20:0_18:2),PC,(20:0_18:2),813.6248,24.2038,B,7.69,3.66,4630,7230,3120,1430,18900,7940,18100,0,#VALUE!,#VALUE!,#VALUE!
PC(20:3_18:0),PC,(20:3_18:0),811.6091,21.4578,B,7.69,2990,13700,10600,4600,10600,12900,5970,92900,18363.63636,18185.45455,23104.90909,18319.09091
PC(20:3_18:0),PC,(20:3_18:0),811.6091,21.675,A,46.15,1420000,1320000,1890000,1060000,4940000,3270000,3810000,5880000,11927272.73,11927094.55,18127250.36,11927228.18
PC(20:3_18:0),PC,(20:3_18:0),811.6091,21.8358,A,30.77,1420000,1690000,1890000,1060000,4940000,3270000,3810000,5880000,11927272.73,11927094.55,18127250.36,11927228.18
PC(20:3_20:3),PC,(20:3_20:3),833.5935,19.6682,A,84.62,2160000,2950000,3280000,3080000,6950000,5440000,5120000,9640000,11036363.64,11036185.45,16963614,11036319.09
PC(20:4_15:1),PC,(20:4_15:1),765.5309,18.8857,B,23.08,202000,202000,288000,386000,648000,887000,871000,813000,1432727.273,1432549.091,2661795.818,1432682.727
PC(20:4_16:0),PC,(20:4_16:0),781.5622,17.3494,A,84.62,6530000,7710000,9410000,6580000,13800000,11500000,8750000,22200000,25090909.09,25090730.91,39072704.91,25090864.55
PC(20:4_16:0),PC,(20:4_16:0),781.5622,17.609,B,7.69,70500,143000,66300,74300,230000,130000,90100,367000,301818.1818,301640,286980,301773.6364
PC(20:4_18:0),PC,(20:4_18:0),809.5935,20.3761,A,38.46,7400000,7880000,11200000,6860000,37900000,26100000,24000000,57400000,30909090.91,30908912.73,65018159.45,30909046.36
PC(20:4_18:0),PC,(20:4_18:0),809.5935,20.5863,B,7.69,60300,199000,203000,167000,438000,332000,305000,572000,274545.4545,274367.2727,250886.7273,274500.9091
PC(20:4_18:0),PC,(20:4_18:0),809.5935,20.6607,A,15.38,457000,673000,1290000,572000,2070000,5450000,1400000,4190000,376363.6364,376185.4545,400022.3636,376319.0909
PC(20:4_18:1),PC,(20:4_18:1),807.5778,17.6413,A,38.46,2770000,3190000,3490000,3090000,2400000,2720000,2020000,3190000,3490909.091,3490730.909,6854523.091,3490864.545
PC(20:4_18:1),PC,(20:4_18:1),807.5778,17.7747,A,38.46,1370000,154000,1820000,607000,1510000,1260000,954000,1890000,3490909.091,3490730.909,6854523.091,3490864.545
PC(20:4_18:1),PC,(20:4_18:1),807.5778,17.8321,B,15.38,146000,232000,53600,71700,214000,69100,35000,169000,112000,111821.8182,103432.1818,111955.4545
PC(20:5_16:0),PC,(20:5_16:0),779.5465,15.8008,A,76.92,588000,895000,637000,697000,421000,685000,455000,374000,1245454.545,1245276.364,2416341.273,1245410
PC(20:5_17:1),PC,(20:5_17:1),791.5465,20.1416,C,7.69,145000,195000,203000,206000,456000,372000,286000,524000,111818.1818,111640,285250.3636,111773.6364
PC(20:5_18:0),PC,(20:5_18:0),807.5778,18.5801,A,38.46,857000,1520000,1160000,935000,953000,1380000,789000,1100000,3090909.091,3090730.909,4314523.091,3090864.545
PC(20:5_18:0),PC,(20:5_18:0),807.5778,18.6352,A,38.46,385000,917000,466000,935000,953000,1380000,530000,1100000,2890909.091,2890730.909,4114523.091,2890864.545
PC(22:5_18:0),PC,(22:5_18:0),835.6091,20.169,A,38.46,599000,766000,846000,599000,1060000,1210000,1030000,764000,2000000,1999821.818,3109068.545,1999955.455
PC(22:6_16:0),PC,(22:6_16:0),805.5622,16.7247,A,69.23,3150000,4970000,4740000,5680000,4710000,6320000,3410000,6090000,15545454.55,15545276.36,24254523.09,15545410
PC(22:6_18:0),PC,(22:6_18:0),833.5935,19.8385,A,15.38,1290000,623000,666000,88200,1510000,2250000,1810000,1390000,5018181.818,5018003.636,5716341.273,5018137.273
PC(22:6_18:0),PC,(22:6_18:0),833.5935,19.9647,A,23.08,46000,623000,926000,219000,674000,2460000,119000,1750000,205454.5455,205276.3636,944949.6364,205410
PC(22:7_18:0),PC,(22:7_18:0),831.5778,20.4072,C,15.38,425000,426000,618000,367000,3440000,2540000,1990000,7350000,1263636.364,1263458.182,3214523.091,1263591.818
PC(22:7_18:0),PC,(22:7_18:0),831.5778,20.8543,C,7.69,102000,163000,172000,88400,535000,360000,331000,620000,285454.5455,285276.3636,46214,285410
PC(24:0_18:2),PC,(24:0_18:2),869.6874,35.0987,C,7.69,22600,36400,9040,74200,49800,29600,31500,41300,66909.09091,66730.90909,105014,66864.54545
PC(24:1_13:1),PC,(24:1_13:1),799.6091,22.7181,A,30.77,398000,417000,926000,917000,1840000,1000000,1570000,2310000,4036363.636,4036185.455,5409068.545,4036319.091
PC(26:5_12:1),PC,(26:5_12:1),805.5622,16.8645,A,23.08,967000,2740000,2120000,2190000,2030000,2920000,1200000,2880000,7636363.636,7636185.455,13181795.82,7636319.091
PC(O-13:1_18:0),PC,(O-13:1_18:0),703.5516,20.1489,C,7.69,10400,11800,5190,220,101000,40600,89300,140000,321818.1818,321640,382159.4545,321773.6364
PC(O-13:1_20:4),PC,(O-13:1_20:4),723.5203,19.2902,C,7.69,535000,1450000,1490000,1240000,3810000,2760000,1960000,4540000,9200000,9199821.818,13799977.64,9199955.455
