LipidMolec,intensity[s1],intensity[s2],intensity[s3],intensity[s4],intensity[s5],intensity[s6],intensity[s7],intensity[s8],intensity[s9],intensity[s10],intensity[s11],intensity[s12]
AcCa(14:0),0.5094584837545130,0.181248,0.07437473684210530,0.35957597173144900,0.17768308921438100,0.19756718528995800,0.07585335018963340,0.37385749385749400,3.4909090909090900,3.478889617582710,3.1660830795530300,3.4879048310423200
AcCa(16:0),8.335018050541520,4.50816,2.2736842105263200,5.665017667844520,1.8918774966711100,1.8942008486562900,2.063211125158030,5.896805896805900,5.685950413223140,5.674523700613390,6.510429668616650,5.6830943135280500
AcCa(18:0),4.609386281588450,2.2656,4.597894736842110,4.062190812720850,3.2660452729693700,2.9736916548797700,1.8326169405815400,5.601965601965600,3.067768595041320,3.0556348545888400,4.198895996763850,3.0647357741776000
AcCa(18:1),6.186281588447650,2.25792,5.618526315789470,8.192226148409890,1.5211717709720400,1.28995756718529,1.4563843236409600,2.9484029484029500,2.644628099173550,2.632380091594980,3.233953642684030,2.6415667173128800
AcCa(18:2),2.47797833935018,1.55136,3.1831578947368400,5.44452296819788,0.9011984021304930,0.7943422913719940,1.419974715549940,2.17002457002457,1.4016528925619800,1.3890692253004900,1.5657148735511200,1.398507612772760
AcCa(2:0),3.4657039711191300,2.2656,3.617684210526320,1.9081272084805700,3.6047936085219700,3.1705799151343700,5.188369152970920,6.769533169533170,5.7785123966942100,5.7671106800183000,5.9605797441206,5.775662544717210
Cer(16:0_d18:1),23.333333333333300,29.870689655172400,25.765957446808500,20.03791469194310,32.72164948453610,21.287671232876700,15.00744416873450,41.53700787401580,12.211019929660000,12.207597121357400,12.325585725872100,12.210164301319300
Cer(18:0_d18:1),0.40558823529411800,1.4573275862069000,1.2957446808510600,0.5991469194312800,0.3872164948453610,0.7767123287671230,0.473151364764268,1.8916535433070900,2.255099648300120,2.250532886545000,1.8413947828894600,2.2539580562396000
Cer(20:0_d18:1),0.9401960784313730,0.4498706896551720,0.39095744680851100,1.1213270142180100,0.5065979381443300,0.9147945205479450,0.8076923076923080,1.4815748031496100,3.697772567409140,3.693371571411490,2.4679400583665100,3.6966724132170300
Cer(22:0_d18:1),8.441176470588240,9.775862068965520,6.687234042553190,2.64739336492891,8.907216494845360,4.781095890410960,5.002481389578160,12.699212598425200,6.499413833528720,6.4953347512375400,7.541291127444090,6.4983941508284800
Cer(23:0_d18:1),14.068627450980400,19.732758620689700,8.936170212765960,13.004739336492900,26.22680412371130,15.476712328767100,15.267990074441700,26.39055118110240,18.464243845252100,18.46153954381630,12.651030511089300,18.463567828149800
Cer(24:0_d18:1),26.76470588235290,21.543103448275900,26.808510638297900,21.696682464455000,34.08247422680410,25.2,23.397022332506200,38.62677165354330,8.813599062133650,8.809785883958530,9.891156230153530,8.812645849734250
Cer(24:1_d18:1),32.32352941176470,37.564655172413800,24.425531914893600,24.218009478673000,21.525773195876300,18.123287671232900,15.372208436724600,25.861417322834600,48.794841735052800,48.79562247479780,35.311725280183600,48.795036903170100
Cer(16:0_d18:2),5.167647058823530,6.743534482758620,2.9861702127659600,1.685308056872040,4.762886597938140,4.217260273972600,3.0588089330024800,5.469921259842520,2.6539273153575600,2.649406379630950,2.3264868918784400,2.652797178816980
Cer(20:0_d18:2),5.503921568627450,6.417672413793100,3.5074468085106400,2.328909952606640,4.527835051546390,4.263287671232880,3.8769230769230800,3.6973228346456700,2.4569753810082100,2.452431815144060,2.2624229577805900,2.4558395874207400
Cer(22:0_d18:2),0.00543529411764706,0.011224137931034500,7.59574468085106E-08,0.013402843601895700,2.0350515463917500,0.7709589041095890,0.23813895781637700,0.48944881889763800,2.0679953106682300,2.0634070502824500,1.3250394740607300,2.0668483444131700
Cer(23:0_d18:2),2.813725490196080,3.747413793103450,3.3138297872340400,3.1582938388625600,3.1422680412371100,2.030958904109590,2.5325062034739500,3.0888188976378000,7.188745603751470,7.184745726941670,5.0222972387163100,7.1877457207153100
Cer(24:0_d18:2),7.068627450980390,6.544396551724140,0.01377659574468090,1.6919431279620900,11.567010309278400,8.457534246575340,7.086848635235730,10.97952755905510,12.998827667057400,12.995495379305000,9.693839313132120,12.997994666904300
Cer(24:1_d18:2),13.725490196078400,18.55603448275860,16.30851063829790,11.545023696682500,8.412371134020620,5.868493150684930,2.6367245657568200,11.310236220472400,3.6780773739742100,3.673674114962800,8.117866534324820,3.676976654077400
Ch(),2919.2574257425700,2384.0677966101700,10750.043103448300,2758.4584980237200,1652.8188976378000,4113.31746031746,2736.0919540229900,1725.603448275860,2039.8360655737700,2040.13712179905,2095.2925106528400,2039.9113182936400
ChE(18:1),273.1782178217820,311.7627118644070,1112.3146551724100,258.7391304347830,18.48771653543310,102.18888888888900,43.99511494252870,30.625574712643700,178.48565573770500,178.41284110333600,176.63185556260000,178.46745482099000
ChE(18:2),934.6980198019800,800.0381355932200,4605.495689655170,761.2490118577080,190.84094488189000,1846.2698412698400,598.5201149425290,267.39080459770100,177.37704918032800,177.3040118712360,148.25105080317600,177.35879260331700
ChE(20:4),516.8960396039600,419.50423728813600,1923.8146551724100,226.66403162055300,183.1732283464570,1399.7301587301600,466.37931034482800,317.13793103448300,71.61598360655740,71.52170312890700,44.2620083643482,71.59241703733080
ChE(22:6),0.0,0.0,0.0,0.0,47.62503937007870,875.9047619047620,205.20689655172400,154.9933908045980,0.0,0.0,0.0,0.0
CL(18:1_18:1_18:2_18:2),2.6708661417322800,0.36056338028169000,0.15773049645390100,0.46119162640901800,0.498255033557047,0.6100128369704750,22.692307692307700,2.2451612903225800,0.0,0.0,0.0,0.0
CL(18:1_18:1_18:1_18:2),0.2925984251968500,0.00018503912363067300,0.00026581560283687900,0.0,0.0006614765100671140,0.1645186136071890,0.01051923076923080,3.6363636363636400,0.0,0.0,0.0,0.0
Co(Q9),106.45669291338600,180.28169014084500,292.1985815602840,636.3929146537840,4.510067114093960,5.196405648267010,15.307692307692300,9.994134897360700,0.1659504132231410,0.15953567973807600,0.12407552352977200,0.0
DG(10:0_18:2),3.2755905511811000,2.6541471048513300,3.4609929078014200,3.9162640901771300,0.0,0.0,0.0648076923076923,0.0,2.0165289256198300,2.0108639035642500,1.8801189862264200,2.0151131002932100
DG(12:0_18:2),24.913385826771700,16.85133020344290,34.04255319148940,32.97906602254430,5.648322147651010,8.174582798459560,7.365384615384620,4.762463343108510,19.570247933884300,19.571694322494200,20.48076719477340,19.570609421201700
DG(12:0_20:5),99.5275590551181,78.12206572769950,106.38297872340400,97.90660225442830,19.2,25.673940949935800,25.384615384615400,17.712609970674500,2.188429752066120,2.1828343709436100,1.6933375599254500,2.187031331684410
DG(13:0_18:2),1.0456692913385800,13.821596244131500,0.27290780141844000,8.940418679549120,1.47114093959732E-06,0.4621309370988450,0.9365384615384620,6.28739002932551E-11,2.0826446280991700,2.07700639101785,2.4931197310546200,2.0812354969821300
DG(14:0_14:0),36.8503937007874,28.043818466353700,38.01418439716310,30.144927536231900,7.387919463087250,8.913992297817720,6.326923076923080,8.89149560117302,1.031404958677690,1.0253408405056600,-0.7407820913372350,1.0298893896282900
DG(14:0_16:0),69.29133858267720,50.57902973395930,65.53191489361700,15.81964573268920,3.844295302013420,9.571245186136070,7.788461538461540,6.193548387096770,9.652892561983470,9.650321204454700,19.52202210764340,9.652249917863590
DG(14:0_16:1),33.38582677165350,18.453834115805900,26.72340425531920,35.55555555555560,3.1140939597315400,3.491655969191270,2.269230769230770,1.4334310850439900,16.0,16.0,14.857454041244000,16.0
DG(14:0_18:1),166.9291338582680,69.60876369327070,129.645390070922,135.78099838969400,1.2306040268456400,13.57637997432610,1.175,9.290322580645160,8.396694214876030,8.393613942836360,30.59975031645110,8.395924380774090
DG(14:0_18:2),655.1181102362200,515.8059467918620,797.1631205673760,847.6650563607090,108.24161073825500,167.18870346598200,143.46153846153800,90.08797653958950,165.28925619834700,165.34973667022200,231.4891354124980,165.30437172358400
DG(14:0_18:3),7.653543307086610,3.9311424100156500,5.75886524822695,1.6206119162640900,1.2048322147651000,2.362002567394100,3.8461538461538500,0.34252199413489700,7.801652892561980,7.798331555753980,8.40455316983542,7.800822810573800
DG(14:1_18:2),10.803149606299200,6.835680751173710,15.943262411347500,18.44766505636070,2.44832214765101E-08,0.7948652118100130,1.27692307692308E-05,1.72903225806452E-08,4.099173553719010,4.094352258352560,4.460285816564870,4.097968595994220
DG(14:2_18:2),2.6677165354330700,5.834115805946790,0.004936170212765960,2.099838969404190,0.002124026845637580,3.43003851091142E-06,1.12884615384615E-06,2.20058651026393E-05,1.375206611570250,1.3692817752643600,1.0222159989344500,1.373725852410680
DG(15:0_16:0),2.3401574803149600,6.435054773082940,8.907801418439720,8.7085346215781,0.8268456375838930,1.6883183568677800,1.023076923076920,0.943108504398827,1.877685950413220,1.8719646799117000,3.280979683483720,1.8762560672464800
DG(15:0_18:1),52.91338582677170,39.561815336463200,56.170212765957400,43.28502415458940,4.961073825503360,7.373555840821570,8.538461538461540,4.504398826979470,36.16528925619840,36.173458673347100,36.54098930198200,36.1673309901209
